tonsil	tonsil<br>ˈtɔn(t)s(ə)l <br> сущ.; анат.<br> миндалевидная железа<br>  enlarged tonsil — увеличенная миндалевидная железа<br>  inflamed tonsil — воспалённая миндалевидная железа
radish	radish<br>ˈrædɪʃ <br> сущ.; бот.<br> редис (растение и плод; лат. Raphanus)<br>  a bunch of radish — пучок редиски
ingress	ingress<br>ˈɪngres<br> сущ.<br> 1) вход, вхождение<br>  Syn:<br>  entrance I, entry<br> 2) доступ, свобода доступа<br> 3) вступительный взнос<br>  Syn:<br>  entrance fee
pluck	pluck<br>plʌk <br>1. сущ.<br> 1)<br>  а) дёрганье, рывок, дёргающее усилие<br>   Syn:<br>   tug, jerk, twitch<br>  б) мор. буксировка (судна)<br> 2)<br>  а) ливер; потроха (животных)<br>   Syn:<br>   giblets, bowels<br>  б) разг. внутренности, внутренние органы человека<br> 3) смелость, отвага; бесстрашие, мужество, храбрость<br>  All men agree I have shown pluck. — Все согласились с тем, что я проявил храбрость.<br>  Syn:<br>  courage, audacity, boldness<br> 4) разг. провал (на экзамене)<br>  The proportion of the plucks to the passes is very sad. — Отношение числа сдавших экзамен к числу тех, кто его не сдал, очень неутешительно.<br> 5) разг. , фото чёткость, контрастность изображения<br> 6) разг. , амер. красное вино<br>2. гл.<br> 1) книжн. собирать, срывать<br>  You have sometimes plucked a pear before it was ripe, Master Copperfield? (Ch. Dickens, &quot;David Copperfield&quot;) — Послушайте, вам когда-нибудь приходилось срывать незрелую грушу, мистер Копперфилд? (пер. Кривцовой и Ланна)<br>  Syn:<br>  pick off, pick out, pull<br> 2)<br>  а) = pluck out выдёргивать, вырывать, выбивать<br>   to pluck out the eye — выбить глаз<br>   Those birds have plucked all the flower heads off the roses. — Эти птицы поклевали все розовые бутоны.<br>  б) выщипывать<br>   to pluck one&apos;s eyebrows — выщипывать брови<br>  в) ( pluck at)<br> дёргать; тащить<br>   Do stop plucking at my skirt, I&apos;m coming! — Хватит дергать меня за юбку, я уже иду!<br> 3)<br>  а) щипать, перебирать (струны)<br>  б) ощипывать (птицу)<br> 4) разг. обирать, грабить; обманывать<br>  Syn:<br>  fleece, rob<br> 5) силой утащить, выхватить (откуда-л.)<br>  I plucked the child from the middle of the road. — Я утащил ребёнка с самой середины дороги.<br> 6) разг. заваливать (студента на экзамене)<br> ••<br> to pluck up one&apos;s heart / courage / spirits — собраться с духом, набраться храбрости
ailing	ailing<br>ˈeɪlɪŋ <br> прил.<br> 1) больной, нездоровый, хворый<br>  Syn:<br>  sick, unhealthy<br> 2) находящийся в плохом состоянии<br>  ailing economy — слабая экономика
scramble	scramble<br>ˈskræmbl <br>1. гл.<br> 1)<br>  а) пробираться; протискиваться с трудом прям. и перен.<br>   I had not even scrambled into my clothes when the clock struck five. — Я даже не успел ничего на себя накинуть, как часы пробили пять.<br>   Syn:<br>   clamber 1., squeeze 2.<br>  б) карабкаться, взбираться<br> 2) воен.<br>  а) поднимать в воздух (истребители) по тревоге<br>  б) быстро взлетать, подниматься в воздух по тревоге (об истребителях)<br> 3) (scramble for) драться, бороться (за обладание чем-л.)<br>  Too many firms are scrambling for a share of profits in the new industry. — Слишком много компаний борются за право участия в прибылях новой отрасли.<br> 4)<br>  а) взбалтывать (обычно яйца для омлета)<br>   Scramble a couple of eggs for me. — Сделай мне омлет из двух яиц.<br>   Syn:<br>   stir I 2.<br>  б) смешивать, перемешивать; перепутывать; приводить в беспорядок<br> 5) зашифровывать (передачу), шифровать<br>2. сущ.<br> 1)<br>  а) свалка, драка<br>   mad / wild scramble — жуткая драка<br>   There was a scramble to buy tickets. — Около билетных касс была жуткая давка.<br>  б) схватка, борьба (за что-л.)<br>   the scramble for new lands — борьба за овладение новыми территориями<br> 2) карабканье<br> 3) автогонки по пересечённой местности<br> 4) воен. взлёт (истребителя) по тревоге
dole	dole<br>I dəul <br>1. сущ.<br> 1) брит.; амер. welfare пособие по безработице<br>  to be / go on the dole — получать пособие<br>  dole queue — очередь за пособием по безработице<br>  to join the dole queue — пополнить ряды безработных<br>  Syn:<br>  benefit<br> 2) небольшая помощь; подачка<br> 3) уст. доля, судьба<br>  his dole is to be happy — у него счастливая судьба<br>  Syn:<br>  fate, destiny<br>2. гл.<br> 1) скупо выдавать, раздавать в скудных размерах, раздавать маленькими порциями<br>  to dole out praise — скупиться на похвалу<br> 2) раздавать (продукты и т.п.) в качестве благотворительной помощи<br>  to dole out bread to the poor — раздавать хлеб бедным<br>  The Red Cross flew to the area of the floods, ready to dole out supplies of food, medicine, bedding, and tents. — Представители Красного Креста вылетели в район наводнения, чтобы раздавать еду, лекарства, палатки и одеяла.<br>II dəul <br>сущ.; поэт.<br> 1) горе, скорбь<br>  Syn:<br>  grief, woe, sorrow<br> 2) плач, рыдания, горестная жалоба<br>  Syn:<br>  mourning, weeping, lamentation
kennel	kennel<br>I ˈken(ə)l <br>1. сущ.<br> 1)<br>  а) собачья конура<br>  б) презр. конура, лачуга, хибара<br>   Syn:<br>   hovel 1., shack I<br> 2)<br>  а) свора собак (обычно охотничьих)<br>  б) стая, стадо<br>   a kennel of lions — прайд, стая львов<br>   a kennel of wolves — стая волков<br> 3) обычно kennels псарня; собачий питомник<br>2. гл.<br> 1)<br>  а) жить в конуре; лежать в конуре; залезать в конуру<br>  б) презр. ютиться в конуре; прозябать; скрываться<br>   all foul passions that kennel in a sensual soul — все непристойности, скрывающиеся в чувственной душе<br>   Syn:<br>   lurk 1.<br> 2)<br>  а) загонять в конуру; держать в конуре<br>  б) скрывать, прятать<br>   Hold the torch up till I&apos;ve got to the end of the court, and then kennel yourself. (Ch. Dickens) — Держи факел, пока я не дойду до конца двора, а затем прячься сам.<br> •<br> - kennel up<br>II ˈken(ə)l <br>сущ.<br> водосточный жёлоб, сток, сточная канава<br> Syn:<br> gutter 1.
hew	hew<br>hjuː <br> гл.; прош. вр. hewed; прич. прош. вр. hewed, hewn<br> 1) разрубать, рассекать, рубить<br>  Syn:<br>  chop, cut, hack, split, cleave<br> 2) = hew down, = hew off срубать<br>  The villagers are trying to prevent the ancient tree in the marketplace from being hewn down for safety reasons. — Жители деревни пытаются не допустить, чтобы из соображений безопасности срубили старое дерево, растущее в центре рынка.<br>  Syn:<br>  chop, cut, hack<br> 3) = hew out придавать определенную форму: вырезать, высекать, вытесывать<br> 4) ( hew to) согласовываться с (чем-л.), соответствовать, следовать (чему-л.)<br>  to hew to the line — соответствовать выбранной линии, выбранному курсу<br>  I have always hewed to his political principles. — Я всегда следовал его политическим принципам.<br>  Syn:<br>  conform, adhere<br> 5) горн.; = hew off отбивать<br> •<br> - hew out
cue	cue<br>I kjuː <br>1. сущ.<br> 1) театр. реплика<br> 2) знак, сигнал<br>  cue for smth. / to do smth. — знак, сигнал к чему-л.<br>  Greg&apos;s arrival seemed to be the cue for everyone to get up and start dancing. — Казалось, все только и ждали появления Грега, чтобы подняться со своих мест и начать танцы.<br> 3) аллюзия, намёк<br>  Syn:<br>  hint 1.<br>2. гл.; театр.<br> подавать реплики<br>  - cue in<br>II kjuː <br>сущ.<br> кий
